cod_mun_ent,uf,nom_municipio_x,1.1,1.3,1.4,1.5,2.1.1,2.1.2,3.1,3.2.2,3.2.3,3.3,3.4,3.5,4.1,4.2,4.3,4.4,qtd_2018_x,Região,idhm,idhm_renda,soma_capag,media_indicadores,mediana_indicadores,sit_obr,sit_predita
310060.0,MG,�gua Boa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13600,SE,0.5760000000000001,0.594,1.0367,0.34556666666666663,0.0815,0.0,0.0
510020.0,MT,�gua Boa,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25229,CO,0.7290000000000001,0.723,1.1631,0.3877,0.2424,1.0,1.0
270010.0,AL,�gua Branca,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20162,NE,0.5489999999999999,0.527,0.6795,0.2265,0.2382,1.0,1.0
250010.0,PB,�gua Branca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10161,NE,0.5720000000000001,0.542,2.1566,0.7188666666666667,0.9751,0.0,0.0
220020.0,PI,�gua Branca,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17349,NE,0.639,0.6,2.1408,0.7136,0.9418,1.0,1.0
500020.0,MS,�gua Clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15257,CO,0.67,0.705,1.7997999999999998,0.5999333333333333,0.8637999999999999,0.0,0.0
310070.0,MG,�gua Comprida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,SE,0.675,0.7190000000000001,0.0,0.0,0.0,1.0,1.0
420040.0,SC,�gua Doce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7138,S,0.698,0.7240000000000001,1.0287,0.3429,0.0592,0.0,0.0
210015.0,MA,�gua Doce do Maranh�o,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,12488,NE,0.5,0.494,0.0,0.0,0.0,2.0,2.0
320016.0,ES,�gua Doce do Norte,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,11131,SE,0.652,0.619,0.0,0.0,0.0,1.0,1.0
